Actor,Gender,Year,Film,Role,Notes,justification,primary_genre,nationalist_sentiments,justification_from_genre,primary_genre_final
Deepika Padukone,Female,2015,Piku,Piku Banerjee,,Comedy-drama about father-daughter relationship with humor and emotional depth,Comedy,no,Deepika Padukone's drama about father-daughter relationship with humor and emotional depth,Drama/Serious
Deepika Padukone,Female,2015,Tamasha,Tara Maheshwari,,Romantic drama about finding true self through love story,Romance,no,Deepika Padukone's romantic drama about finding true self through love story,Romance
Deepika Padukone,Female,2015,Bajirao Mastani,Mastani,,Period romance about Maratha warrior and his love with emotional depth,Romance,yes,Deepika Padukone's period romance about Maratha warrior and his love with emotional depth,Romance
Deepika Padukone,Female,2017,XXX: Return of Xander Cage,Serena Unger,American film,Action thriller with spectacular stunts and international adventure,Action/Adventure,no,Deepika Padukone's action thriller with spectacular stunts and international adventure,Action/Adventure
Deepika Padukone,Female,2018,Padmaavat,Rani Padmavati,,Period action drama about Rajput honor with spectacular battle sequences,Action/Adventure,yes,Deepika Padukone's period action drama about Rajput honor with spectacular battle sequences,Drama/Serious
Deepika Padukone,Female,2020,Chhapaak,Malti Agarwal,Also producer,Drama about acid attack survivor with serious social themes,Drama/Serious,no,Deepika Padukone's drama about acid attack survivor with serious social themes,Drama/Serious
Deepika Padukone,Female,2021,83,Romi Dev,Also producer,Sports drama about cricket World Cup victory with inspirational themes,Drama/Serious,yes,Deepika Padukone's sports drama about cricket World Cup victory with inspirational themes,Drama/Serious
Deepika Padukone,Female,2022,Gehraiyaan,Alisha Khanna,,Romantic drama about complex relationships with emotional depth,Romance,no,Deepika Padukone's romantic drama about complex relationships with emotional depth,Romance
Deepika Padukone,Female,2023,Pathaan,"Dr. Rubina ""Rubai"" Mohsin",,Action spy thriller with spectacular stunts and international espionage,Action/Adventure,yes,Deepika Padukone's action spy thriller with spectacular stunts and international espionage,Action/Adventure
Deepika Padukone,Female,2024,Fighter,"Squadron Leader Minal ""Minni"" Rathore",,Action thriller about air force pilots with spectacular aerial sequences,Action/Adventure,yes,Deepika Padukone's action thriller about air force pilots with spectacular aerial sequences,Action/Adventure
Deepika Padukone,Female,2024,Kalki 2898 AD,Sumati (SUM-80),Telugu film,Sci-fi action film set in future with futuristic elements,Fantasy/Sci-Fi/Horror,yes,Deepika Padukone's sci-fi action film set in future with futuristic elements,Fantasy/Sci-Fi/Horror
Deepika Padukone,Female,2024,Singham Again,DCP Shakti Shetty,,Action sequel with cop fighting corruption through spectacular confrontations,Action/Adventure,yes,Deepika Padukone's action sequel with cop fighting corruption through spectacular confrontations,Action/Adventure
Deepika Padukone,Female,2026,King †,TBA,,Action thriller with spectacular stunts and confrontational sequences,Action/Adventure,NA,Deepika Padukone's action thriller with spectacular stunts and confrontational sequences,Action/Adventure
Deepika Padukone,Female,2027,AA22xA6 †,TBA,Telugu film,Action thriller with spectacular stunts and confrontational sequences,Action/Adventure,NA,Deepika Padukone's action thriller with spectacular stunts and confrontational sequences,Action/Adventure
Kareena Kapoor Khan,Female,2000,Refugee,"Nazneen ""Naaz"" Ahmed",,Romantic drama set against Indo-Pakistani border tensions,Romance,yes,Kareena Kapoor Khan's romantic drama set against Indo-Pakistani border tensions,Romance
Kareena Kapoor Khan,Female,2001,Mujhe Kucch Kehna Hai,Pooja Saxena,,Romantic comedy with love story and humorous elements,Romance,no,Kareena Kapoor Khan's romantic comedy with love story and humorous elements,Romance
Kareena Kapoor Khan,Female,2001,Yaadein,Isha Singh Puri,,Family drama about father-daughter relationships with emotional themes,Drama/Serious,no,Kareena Kapoor Khan's family drama about father-daughter relationships with emotional themes,Drama/Serious
Kareena Kapoor Khan,Female,2001,Ajnabee,Priya Malhotra,,Thriller about wife swapping with suspense and psychological tension,Thriller/Crime,no,Kareena Kapoor Khan's thriller about wife swapping with suspense and psychological tension,Thriller/Crime
Kareena Kapoor Khan,Female,2001,Aśoka,Kaurwaki,,Historical action drama about emperor with battle sequences,Action/Adventure,yes,Kareena Kapoor Khan's historical action drama about emperor with battle sequences,Action/Adventure
Kareena Kapoor Khan,Female,2001,Kabhi Khushi Kabhie Gham...,Pooja Sharma,,Family drama about relationships and traditional values across generations,Drama/Serious,no,Kareena Kapoor Khan's family drama about relationships and traditional values across generations,Drama/Serious
Kareena Kapoor Khan,Female,2002,Mujhse Dosti Karoge!,Tina Kapoor,,Romantic drama about friendship and love triangle,Romance,no,Kareena Kapoor Khan's romantic drama about friendship and love triangle,Romance
Kareena Kapoor Khan,Female,2002,Jeena Sirf Merre Liye,Pooja Khanna (Pinky),,Romantic drama where love story drives the narrative,Romance,no,Kareena Kapoor Khan's romantic drama where love story drives the narrative,Romance
Kareena Kapoor Khan,Female,2003,Talaash: The Hunt Begins...,Tina Saluja,,Action thriller about search and investigation with confrontational sequences,Action/Adventure,no,Kareena Kapoor Khan's action thriller about search and investigation with confrontational sequences,Action/Adventure
Kareena Kapoor Khan,Female,2003,Khushi,Khushi Singh (Laali),,Romantic comedy with love story enhanced by humor,Romance,no,Kareena Kapoor Khan's romantic comedy with love story enhanced by humor,Romance
Kareena Kapoor Khan,Female,2003,Main Prem Ki Diwani Hoon,Sanjana Satyaprakash,,Romantic family drama where love story is central theme,Romance,no,Kareena Kapoor Khan's romantic family drama where love story is central theme,Romance
Kareena Kapoor Khan,Female,2003,LOC Kargil,Simran,,War action film about Kargil conflict with battle sequences,Action/Adventure,yes,Kareena Kapoor Khan's war action film about Kargil conflict with battle sequences,Action/Adventure
Kareena Kapoor Khan,Female,2004,Chameli,Chameli,,Drama about prostitute with serious social themes,Drama/Serious,no,Kareena Kapoor Khan's drama about prostitute with serious social themes,Drama/Serious
Kareena Kapoor Khan,Female,2004,Yuva,Mira,,Political drama about youth and politics with serious themes,Drama/Serious,no,Kareena Kapoor Khan's political drama about youth and politics with serious themes,Drama/Serious
Kareena Kapoor Khan,Female,2004,Dev,Aaliya,Also playback singer,Drama about communal riots with serious social themes,Drama/Serious,no,Kareena Kapoor Khan's drama about communal riots with serious social themes,Drama/Serious
Kareena Kapoor Khan,Female,2004,Fida,Neha Mehra,Also playback singer,Romantic thriller about love and betrayal with suspense elements,Romance,no,Kareena Kapoor Khan's romantic thriller about love and betrayal with suspense elements,Romance
Kareena Kapoor Khan,Female,2004,Aitraaz,Priya Saxena,,Thriller about sexual harassment with psychological tension,Thriller/Crime,no,Kareena Kapoor Khan's thriller about sexual harassment with psychological tension,Thriller/Crime
Kareena Kapoor Khan,Female,2004,Hulchul,Anjali Pathak,,Comedy about family feuds with humorous situations,Comedy,no,Kareena Kapoor Khan's comedy about family feuds with humorous situations,Comedy
Kareena Kapoor Khan,Female,2005,Bewafaa,Anjali Verma,,Romantic drama about betrayal in love with emotional themes,Romance,no,Kareena Kapoor Khan's romantic drama about betrayal in love with emotional themes,Romance
Kareena Kapoor Khan,Female,2005,Kyon Ki,Dr. Tanvi Khurana,,Romantic drama set in mental asylum with love story,Romance,no,Kareena Kapoor Khan's romantic drama set in mental asylum with love story,Romance
Kareena Kapoor Khan,Female,2005,Dosti: Friends Forever,Anjali Saluja,,Drama about friendship with serious emotional themes,Drama/Serious,no,Kareena Kapoor Khan's drama about friendship with serious emotional themes,Drama/Serious
Kareena Kapoor Khan,Female,2006,36 China Town,Priya Singhania,,Comedy thriller about murder mystery with humor and suspense,Comedy,no,Kareena Kapoor Khan's comedy thriller about murder mystery with humor and suspense,Thriller/Crime
Kareena Kapoor Khan,Female,2006,Chup Chup Ke,Shruti Chauhan,,Comedy about deaf-mute pretense with humorous situations,Comedy,no,Kareena Kapoor Khan's comedy about deaf-mute pretense with humorous situations,Comedy
Kareena Kapoor Khan,Female,2006,Omkara,Dolly Mishra,,Crime drama adaptation of Othello with serious themes,Drama/Serious,no,Kareena Kapoor Khan's crime drama adaptation of Othello with serious themes,Drama/Serious
Kareena Kapoor Khan,Female,2007,Jab We Met,Geet Dhillon,,Romantic comedy about train journey with love story and humor,Romance,no,Kareena Kapoor Khan's romantic comedy about train journey with love story and humor,Romance
Kareena Kapoor Khan,Female,2008,Tashan,Pooja Singh,Also playback singer,Action comedy with spectacular stunts combined with humor,Action/Adventure,no,Kareena Kapoor Khan's action comedy with spectacular stunts combined with humor,Action/Adventure
Kareena Kapoor Khan,Female,2008,Golmaal Returns,Ekta Gill Santoshi,,Comedy sequel with ensemble cast in humorous situations,Comedy,no,Kareena Kapoor Khan's comedy sequel with ensemble cast in humorous situations,Comedy
Kareena Kapoor Khan,Female,2009,Kambakkht Ishq,Simrita Rai,,Romantic comedy about stuntman and surgeon with humor,Romance,no,Kareena Kapoor Khan's romantic comedy about stuntman and surgeon with humor,Romance
Kareena Kapoor Khan,Female,2009,Main Aurr Mrs Khanna,Raina Khanna,,Romantic drama about marriage and relationships,Romance,no,Kareena Kapoor Khan's romantic drama about marriage and relationships,Romance
Kareena Kapoor Khan,Female,2009,Kurbaan,Avantika Ahuja,,Thriller about terrorism and betrayal with suspense elements,Thriller/Crime,no,Kareena Kapoor Khan's thriller about terrorism and betrayal with suspense elements,Thriller/Crime
Kareena Kapoor Khan,Female,2009,3 Idiots,Pia Sahastrabuddhe,,Comedy-drama about engineering students with humor and life lessons,Comedy,no,Kareena Kapoor Khan's comedy-drama about engineering students with humor and life lessons,Comedy
Kareena Kapoor Khan,Female,2010,Milenge Milenge,Priya Kapoor,,Romantic comedy about destiny and love with humor,Romance,no,Kareena Kapoor Khan's romantic comedy about destiny and love with humor,Romance
Kareena Kapoor Khan,Female,2010,We Are Family,Shreya Arora,,Family drama about relationships with serious emotional themes,Drama/Serious,no,Kareena Kapoor Khan's family drama about relationships with serious emotional themes,Drama/Serious
Kareena Kapoor Khan,Female,2010,Golmaal 3,Divya,,Comedy featuring ensemble cast in humorous family situations,Comedy,no,Kareena Kapoor Khan's comedy featuring ensemble cast in humorous family situations,Comedy
Kareena Kapoor Khan,Female,2011,Bodyguard,Divya Rana / Chhaya,,Action drama about protecting a girl through confrontations,Action/Adventure,no,Kareena Kapoor Khan's action drama about protecting a girl through confrontations,Action/Adventure
Kareena Kapoor Khan,Female,2011,Ra.One,Sonia Subramaniam,,Sci-fi action film about video game villain with spectacular effects,Fantasy/Sci-Fi/Horror,no,Kareena Kapoor Khan's sci-fi action film about video game villain with spectacular effects,Fantasy/Sci-Fi/Horror
Kareena Kapoor Khan,Female,2012,Ek Main Aur Ekk Tu,Riana Braganza,,Romantic comedy about Vegas marriage with humor and love,Romance,no,Kareena Kapoor Khan's romantic comedy about Vegas marriage with humor and love,Romance
Kareena Kapoor Khan,Female,2012,Agent Vinod,Iram Parveen Bilal / Dr. Ruby Mendes,,Action spy thriller with international espionage and stunts,Action/Adventure,yes,Kareena Kapoor Khan's action spy thriller with international espionage and stunts,Thriller/Crime
Kareena Kapoor Khan,Female,2012,Heroine,Mahi Arora,,Drama about film industry with serious themes about fame,Drama/Serious,no,Kareena Kapoor Khan's drama about film industry with serious themes about fame,Drama/Serious
Kareena Kapoor Khan,Female,2012,Talaash,Rosie / Simran,,Mystery thriller about police investigation with supernatural elements,Thriller/Crime,no,Kareena Kapoor Khan's mystery thriller about police investigation with supernatural elements,Thriller/Crime
Kareena Kapoor Khan,Female,2013,Satyagraha,Yasmin Ahmed,,Drama about corruption and activism with serious social themes,Drama/Serious,no,Kareena Kapoor Khan's drama about corruption and activism with serious social themes,Drama/Serious
Kareena Kapoor Khan,Female,2013,Gori Tere Pyaar Mein!,Dia Sharma,,Romantic comedy about urban-rural love with humor,Romance,no,Kareena Kapoor Khan's romantic comedy about urban-rural love with humor,Romance
Kareena Kapoor Khan,Female,2014,Singham Returns,Avni Kamat,,Action sequel with cop fighting corruption through confrontations,Action/Adventure,yes,Kareena Kapoor Khan's action sequel with cop fighting corruption through confrontations,Action/Adventure
Kareena Kapoor Khan,Female,2015,Bajrangi Bhaijaan,Rasika Pandey,,Emotional drama about helping lost child cross borders,Drama/Serious,yes,Kareena Kapoor Khan's emotional drama about helping lost child cross borders,Drama/Serious
Kareena Kapoor Khan,Female,2016,Ki & Ka,Kia Sahni Bansal,,Romantic comedy about gender role reversal with humor,Romance,no,Kareena Kapoor Khan's romantic comedy about gender role reversal with humor,Romance
Kareena Kapoor Khan,Female,2016,Udta Punjab,Dr. Preet Sahni,,Crime drama about drug addiction with serious social themes,Drama/Serious,no,Kareena Kapoor Khan's crime drama about drug addiction with serious social themes,Drama/Serious
Kareena Kapoor Khan,Female,2018,Veere Di Wedding,Kalindi Puri,,Comedy about female friendship with humorous situations,Comedy,no,Kareena Kapoor Khan's comedy about female friendship with humorous situations,Comedy
Kareena Kapoor Khan,Female,2019,Good Newwz,Deepti Batra,,Comedy about IVF mix-up with humorous situations and family themes,Comedy,no,Kareena Kapoor Khan's comedy about IVF mix-up with humorous situations and family themes,Comedy
Kareena Kapoor Khan,Female,2020,Angrezi Medium,Naina Kohli,,Comedy-drama about father-daughter relationship with humor,Comedy,no,Kareena Kapoor Khan's comedy-drama about father-daughter relationship with humor,Drama/Serious
Kareena Kapoor Khan,Female,2022,Laal Singh Chaddha,Rupa D'Souza,,Drama about man's journey through historical events,Drama/Serious,no,Kareena Kapoor Khan's drama about man's journey through historical events,Drama/Serious
Kareena Kapoor Khan,Female,2023,Jaane Jaan,Maya D'Souza,,Thriller about murder mystery with investigation and suspense,Thriller/Crime,no,Kareena Kapoor Khan's thriller about murder mystery with investigation and suspense,Thriller/Crime
Kareena Kapoor Khan,Female,2023,The Buckingham Murders,Jasmeet Bhamra,Also producer,Crime thriller about investigation with mystery elements,Thriller/Crime,no,Kareena Kapoor Khan's crime thriller about investigation with mystery elements,Thriller/Crime
Kareena Kapoor Khan,Female,2024,Crew,Jasmine Kohli,,Comedy about air hostesses with humorous situations,Comedy,no,Kareena Kapoor Khan's comedy about air hostesses with humorous situations,Comedy
Kareena Kapoor Khan,Female,2024,Singham Again,Avni Kamat Singham,,Action sequel with cop fighting corruption through spectacular confrontations,Action/Adventure,yes,Kareena Kapoor Khan's action sequel with cop fighting corruption through spectacular confrontations,Action/Adventure
Katrina Kaif,Female,2003,Boom,Rina Kaif,,Action thriller about diamond smuggling with crime elements,Action/Adventure,no,Katrina Kaif's action thriller about diamond smuggling with crime elements,Action/Adventure
Katrina Kaif,Female,2004,Malliswari,Malliswari,Telugu film,Romantic comedy with love story and humorous elements,Romance,no,Katrina Kaif's romantic comedy with love story and humorous elements,Romance
Katrina Kaif,Female,2005,Sarkar,Pooja,,Political crime drama about power with serious themes,Drama/Serious,no,Katrina Kaif's political crime drama about power with serious themes,Drama/Serious
Katrina Kaif,Female,2005,Maine Pyaar Kyun Kiya?,Sonia Bharadwaj,,Romantic comedy about doctor's love complications with humor,Romance,no,Katrina Kaif's romantic comedy about doctor's love complications with humor,Romance
Katrina Kaif,Female,2005,Allari Pidugu,Swathi,Telugu film,Action comedy with fight sequences and humor,Action/Adventure,no,Katrina Kaif's action comedy with fight sequences and humor,Action/Adventure
Katrina Kaif,Female,2006,Humko Deewana Kar Gaye,Jia Yashvardhan,,Romantic drama where love story drives the narrative,Romance,no,Katrina Kaif's romantic drama where love story drives the narrative,Romance
Katrina Kaif,Female,2006,Balram vs. Tharadas,Supriya Menon,Malayalam film,Action thriller with confrontational sequences,Action/Adventure,no,Katrina Kaif's action thriller with confrontational sequences,Action/Adventure
Katrina Kaif,Female,2007,Namastey London,"Jasmeet ""Jazz"" Malhotra",,Romantic comedy about cultural identity with love story,Romance,yes,Katrina Kaif's romantic comedy about cultural identity with love story,Romance
Katrina Kaif,Female,2007,Apne,Nandini,,Sports drama about boxing family with emotional themes,Drama/Serious,no,Katrina Kaif's sports drama about boxing family with emotional themes,Drama/Serious
Katrina Kaif,Female,2007,Partner,Priya,,Romantic comedy about love guru with humor and romance,Romance,no,Katrina Kaif's romantic comedy about love guru with humor and romance,Comedy
Katrina Kaif,Female,2007,Welcome,Sanjana,,Comedy about gangster family with humor and entertainment focus,Comedy,no,Katrina Kaif's comedy about gangster family with humor and entertainment focus,Comedy
Katrina Kaif,Female,2008,Race,Sophia Sharma,,Action thriller about inheritance with spectacular stunts and suspense,Action/Adventure,no,Katrina Kaif's action thriller about inheritance with spectacular stunts and suspense,Thriller/Crime
Katrina Kaif,Female,2008,Singh Is Kinng,Sonia Singh,,Comedy about Punjabi man with humorous situations,Comedy,no,Katrina Kaif's comedy about Punjabi man with humorous situations,Comedy
Katrina Kaif,Female,2008,Yuvvraaj,Anushka Banton,,Family drama about brothers and inheritance with emotional conflicts,Drama/Serious,no,Katrina Kaif's family drama about brothers and inheritance with emotional conflicts,Drama/Serious
Katrina Kaif,Female,2009,New York,Maya Sheikh,,Thriller about post-9/11 terrorism with suspense and investigation,Drama/Serious,no,Katrina Kaif's thriller about post-9/11 terrorism with suspense and investigation,Drama/Serious
Katrina Kaif,Female,2009,Ajab Prem Ki Ghazab Kahani,"Jennifer ""Jenny"" Pinto",,Romantic comedy with love story enhanced by humor and entertainment,Romance,no,Katrina Kaif's romantic comedy with love story enhanced by humor and entertainment,Romance
Katrina Kaif,Female,2009,De Dana Dan,Anjali Kakkar,,Comedy about money problems with humorous situations,Comedy,no,Katrina Kaif's comedy about money problems with humorous situations,Comedy
Katrina Kaif,Female,2010,Raajneeti,Indu Pratap,,Political thriller about power struggles with crime and conspiracy elements,Thriller/Crime,no,Katrina Kaif's political thriller about power struggles with crime and conspiracy elements,Drama/Serious
Katrina Kaif,Female,2010,Tees Maar Khan,Aanya,,Comedy about con man with humorous heist situations,Comedy,no,Katrina Kaif's comedy about con man with humorous heist situations,Comedy
Katrina Kaif,Female,2011,Zindagi Na Milegi Dobara,Laila,,Comedy-drama about friendship and adventure with humor,Comedy,no,Katrina Kaif's comedy-drama about friendship and adventure with humor,Drama/Serious
Katrina Kaif,Female,2011,Mere Brother Ki Dulhan,Dimple Dixit,,Romantic comedy about brother's bride with humor,Romance,no,Katrina Kaif's romantic comedy about brother's bride with humor,Romance
Katrina Kaif,Female,2012,Ek Tha Tiger,Zoya,,Action spy thriller with spectacular stunts and international espionage,Action/Adventure,yes,Katrina Kaif's action spy thriller with spectacular stunts and international espionage,Action/Adventure
Katrina Kaif,Female,2012,Jab Tak Hai Jaan,Meera Thapar,,Romantic drama about love and sacrifice with emotional depth,Romance,no,Katrina Kaif's romantic drama about love and sacrifice with emotional depth,Romance
Katrina Kaif,Female,2013,Dhoom 3,Aaliya,,Action thriller about bank heists with spectacular stunts,Action/Adventure,no,Katrina Kaif's action thriller about bank heists with spectacular stunts,Action/Adventure
Katrina Kaif,Female,2014,Bang Bang!,Harleen Sahni,,Action thriller with spectacular stunts and chase sequences,Action/Adventure,no,Katrina Kaif's action thriller with spectacular stunts and chase sequences,Action/Adventure
Katrina Kaif,Female,2015,Phantom,Nawaz Mistry,,Action thriller about counter-terrorism with spectacular sequences,Action/Adventure,yes,Katrina Kaif's action thriller about counter-terrorism with spectacular sequences,Action/Adventure
Katrina Kaif,Female,2016,Fitoor,Firdaus Jahaan Naqvi,,Romantic drama adaptation of Great Expectations with love story,Romance,no,Katrina Kaif's romantic drama adaptation of Great Expectations with love story,Romance
Katrina Kaif,Female,2016,Baar Baar Dekho,Diya Kapoor,,Romantic fantasy about time travel with love story and supernatural elements,Fantasy/Sci-Fi/Horror,no,Katrina Kaif's romantic fantasy about time travel with love story and supernatural elements,Romance
Katrina Kaif,Female,2017,Jagga Jasoos,Shruti Sengupta,,Musical adventure mystery with detective elements and humor,Comedy,no,Katrina Kaif's musical adventure mystery with detective elements and humor,Fantasy/Sci-Fi/Horror
Katrina Kaif,Female,2017,Tiger Zinda Hai,Zoya,,Action thriller with spectacular stunts and international espionage,Action/Adventure,yes,Katrina Kaif's action thriller with spectacular stunts and international espionage,Action/Adventure
Katrina Kaif,Female,2018,Thugs of Hindostan,Suraiyya,,Period action adventure with pirates and spectacular sequences,Action/Adventure,yes,Katrina Kaif's period action adventure with pirates and spectacular sequences,Action/Adventure
Katrina Kaif,Female,2018,Zero,Babita Kumari,,Romantic drama about dwarf man's love story with emotional themes,Romance,no,Katrina Kaif's romantic drama about dwarf man's love story with emotional themes,Romance
Katrina Kaif,Female,2019,Bharat,Kumud Raina,,Drama spanning decades about man's journey through historical events,Drama/Serious,yes,Katrina Kaif's drama spanning decades about man's journey through historical events,Drama/Serious
Katrina Kaif,Female,2021,Sooryavanshi,Dr. Ria Gupta,,Action thriller with cop fighting terrorism through spectacular sequences,Action/Adventure,yes,Katrina Kaif's action thriller with cop fighting terrorism through spectacular sequences,Action/Adventure
Katrina Kaif,Female,2022,Phone Bhoot,Ragini Maheshwari,,Horror comedy with supernatural elements and humor,Fantasy/Sci-Fi/Horror,no,Katrina Kaif's horror comedy with supernatural elements and humor,Fantasy/Sci-Fi/Horror
Katrina Kaif,Female,2023,Tiger 3,Zoya,,Action spy thriller with spectacular international stunts and espionage,Action/Adventure,yes,Katrina Kaif's action spy thriller with spectacular international stunts and espionage,Action/Adventure
Katrina Kaif,Female,2024,Merry Christmas,Maria,Simultaneously shot in Tamil,Thriller about Christmas mystery with suspense elements,Thriller/Crime,no,Katrina Kaif's thriller about Christmas mystery with suspense elements,Thriller/Crime
Alia Bhatt,Female,2012,Student of the Year,Shanaya Singhania,,Romantic comedy about college competition with love and humor,Romance,no,Alia Bhatt's romantic comedy about college competition with love and humor,Romance
Alia Bhatt,Female,2014,Highway,Veera Tripathi,,Drama about kidnapping and Stockholm syndrome with serious themes,Drama/Serious,no,Alia Bhatt's drama about kidnapping and Stockholm syndrome with serious themes,Drama/Serious
Alia Bhatt,Female,2014,2 States,Ananya Swaminathan,,Romantic comedy about inter-cultural marriage with love and humor,Romance,no,Alia Bhatt's romantic comedy about inter-cultural marriage with love and humor,Romance
Alia Bhatt,Female,2014,Humpty Sharma Ki Dulhania,Kavya Pratap Singh,,Romantic comedy with love story and humorous elements,Romance,no,Alia Bhatt's romantic comedy with love story and humorous elements,Romance
Alia Bhatt,Female,2015,Shaandaar,Alia Arora,,Romantic comedy about destination wedding with love and humor,Romance,no,Alia Bhatt's romantic comedy about destination wedding with love and humor,Romance
Alia Bhatt,Female,2016,Kapoor & Sons,Tia Malik,,Family drama about dysfunctional family with serious emotional themes,Drama/Serious,no,Alia Bhatt's family drama about dysfunctional family with serious emotional themes,Drama/Serious
Alia Bhatt,Female,2016,Udta Punjab,Mary Jane,,Crime drama about drug addiction with serious social themes,Drama/Serious,no,Alia Bhatt's crime drama about drug addiction with serious social themes,Drama/Serious
Alia Bhatt,Female,2016,Dear Zindagi,Kaira,,Drama about mental health and therapy with serious psychological themes,Drama/Serious,no,Alia Bhatt's drama about mental health and therapy with serious psychological themes,Drama/Serious
Alia Bhatt,Female,2017,Badrinath Ki Dulhania,Vaidehi Trivedi,,Romantic comedy about love overcoming patriarchy with humor,Romance,no,Alia Bhatt's romantic comedy about love overcoming patriarchy with humor,Romance
Alia Bhatt,Female,2018,Raazi,Sehmat Khan,,Spy thriller about undercover agent with suspense and tension,Thriller/Crime,yes,Alia Bhatt's spy thriller about undercover agent with suspense and tension,Thriller/Crime
Alia Bhatt,Female,2019,Gully Boy,Safeena Firdausi,,Musical drama about street rapper with serious themes about dreams,Drama/Serious,no,Alia Bhatt's musical drama about street rapper with serious themes about dreams,Drama/Serious
Alia Bhatt,Female,2019,Kalank,Roop,,Period romantic drama with love story and emotional themes,Romance,no,Alia Bhatt's period romantic drama with love story and emotional themes,Romance
Alia Bhatt,Female,2020,Sadak 2,Aarya Desai,,Action thriller about human trafficking with confrontational sequences,Action/Adventure,no,Alia Bhatt's action thriller about human trafficking with confrontational sequences,Thriller/Crime
Alia Bhatt,Female,2022,Gangubai Kathiawadi,Gangubai Kathiawadi,,Biographical drama about brothel madam with serious social themes,Drama/Serious,no,Alia Bhatt's biographical drama about brothel madam with serious social themes,Drama/Serious
